"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"testthat","testthat","C:/Program Files/R/R-4.1.2/library","3.1.0",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 2.2.0), crayon (>= 1.3.4),
desc, digest, ellipsis (>= 0.2.0), evaluate, jsonlite,
lifecycle, magrittr, methods, pkgload, praise, processx, ps (>=
1.3.4), R6 (>= 2.2.0), rlang (>= 0.4.9), utils, waldo (>=
0.2.4), withr (>= 2.3.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"TH.data","TH.data","C:/Program Files/R/R-4.1.2/library","1.1-0",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"dplyr, gdata, plyr, trtf, tram, rms, coin, ATR, multcomp,
gridExtra, vcd, colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"thematic","thematic","C:/Program Files/R/R-4.1.2/library","0.1.2.1",NA,"R (>= 3.0.0)","utils, graphics, grDevices, grid, farver, rlang, scales,
rstudioapi (>= 0.8), rappdirs, ggplot2 (>= 3.3.0)",NA,"lattice, stats, withr, sysfonts, showtext, Cairo,
systemfonts, ragg, knitr, rmarkdown, htmltools, shiny (>=
1.5.0), bslib, testthat, gganimate, vdiffr (>= 1.0.0), svglite,
jsonlite, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"threejs","threejs","C:/Program Files/R/R-4.1.2/library","0.3.3",NA,"R (>= 3.0.0), igraph (>= 1.0.0)","htmlwidgets (>= 0.3.2), base64enc, crosstalk, methods, stats",NA,"maps","knitr, shiny","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"tibble","tibble","C:/Program Files/R/R-4.1.2/library","3.1.5",NA,"R (>= 3.1.0)","ellipsis (>= 0.3.2), fansi (>= 0.4.0), lifecycle (>= 1.0.0),
magrittr, methods, pillar (>= 1.6.2), pkgconfig, rlang (>=
0.4.3), utils, vctrs (>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"tictoc","tictoc","C:/Program Files/R/R-4.1.2/library","1.0.1",NA,"R (>= 3.0.3), methods",NA,NA,NA,NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"tidygraph","tidygraph","C:/Program Files/R/R-4.1.2/library","1.2.1",NA,NA,"tibble, dplyr (>= 0.8.5), igraph, magrittr, utils, rlang, R6,
tools, stats, tidyr, pillar, cli","cpp11","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"tidymodels","tidymodels","C:/Program Files/R/R-4.1.2/library","0.1.4",NA,"R (>= 3.1)","broom (>= 0.7.9), cli (>= 3.0.1), conflicted (>= 1.0.4), dials
(>= 0.0.10), dplyr (>= 1.0.7), ggplot2 (>= 3.3.5), hardhat (>=
0.1.6), infer (>= 1.0.0), modeldata (>= 0.1.1), parsnip (>=
0.1.7), purrr (>= 0.3.4), recipes (>= 0.1.17), rlang (>=
0.4.11), rsample (>= 0.1.0), rstudioapi (>= 0.13), tibble (>=
3.1.5), tidyr (>= 1.1.4), tune (>= 0.1.6), workflows (>=
0.2.3), workflowsets (>= 0.1.0), yardstick (>= 0.0.8)",NA,"covr, glue, knitr, rmarkdown, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"tidyr","tidyr","C:/Program Files/R/R-4.1.2/library","1.1.4",NA,"R (>= 3.1)","dplyr (>= 0.8.2), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.6)","cpp11 (>= 0.2.6)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"tidyselect","tidyselect","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,"R (>= 3.2)","ellipsis, glue (>= 1.3.0), purrr (>= 0.3.2), rlang (>= 0.4.6),
vctrs (>= 0.3.0)",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, testthat (>=
2.3.0), tibble (>= 2.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"tidyverse","tidyverse","C:/Program Files/R/R-4.1.2/library","1.3.1",NA,"R (>= 3.3)","broom (>= 0.7.6), cli (>= 2.4.0), crayon (>= 1.4.1), dbplyr
(>= 2.1.1), dplyr (>= 1.0.5), dtplyr (>= 1.1.0), forcats (>=
0.5.1), googledrive (>= 1.0.1), googlesheets4 (>= 0.3.0),
ggplot2 (>= 3.3.3), haven (>= 2.3.1), hms (>= 1.0.0), httr (>=
1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.7.10), magrittr
(>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.0), purrr (>=
0.3.4), readr (>= 1.4.0), readxl (>= 1.3.1), reprex (>= 2.0.0),
rlang (>= 0.4.10), rstudioapi (>= 0.13), rvest (>= 1.0.0),
stringr (>= 1.4.0), tibble (>= 3.1.0), tidyr (>= 1.1.3), xml2
(>= 1.3.2)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"timeDate","timeDate","C:/Program Files/R/R-4.1.2/library","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"timereg","timereg","C:/Program Files/R/R-4.1.2/library","2.0.1",NA,"R (>= 2.15), survival","lava, numDeriv, stats, graphics, grDevices, utils, methods",NA,"mets,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"tinytex","tinytex","C:/Program Files/R/R-4.1.2/library","0.34",NA,NA,"xfun (>= 0.23)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"tmap","tmap","C:/Program Files/R/R-4.1.2/library","3.3-3",NA,"R (>= 3.5.0), methods","tmaptools (>= 3.1), sf (>= 0.9-7), stars (>= 0.5-0), units (>=
0.6-1), grid, RColorBrewer, viridisLite, classInt (>= 0.4-3),
htmltools, htmlwidgets, widgetframe, leaflet (>= 2.0.2),
leafsync, leafem (>= 0.1), stats, abind, rlang, utils",NA,"rmapshaper, rmarkdown, knitr, png, cartogram, osmdata,
ggplot2, dplyr, tidyr, shiny, testthat, covr, av, gifski, s2",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"tmaptools","tmaptools","C:/Program Files/R/R-4.1.2/library","3.1-1",NA,"R (>= 3.5), methods","sf (>= 0.9.2), lwgeom (>= 0.1-4), stars (>= 0.4-1), units (>=
0.6-1), grid, magrittr, RColorBrewer, viridisLite, stats,
dichromat, XML",NA,"tmap (>= 3.0), rmapshaper, osmdata, OpenStreetMap, raster,
png, shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"tmvnsim","tmvnsim","C:/Program Files/R/R-4.1.2/library","1.0-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"tools","tools","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"translations","translations","C:/Program Files/R/R-4.1.2/library","4.1.2",NA,NA,NA,NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,NA,"4.1.2"
"triebeard","triebeard","C:/Program Files/R/R-4.1.2/library","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"truncnorm","truncnorm","C:/Program Files/R/R-4.1.2/library","1.0-8",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"TTR","TTR","C:/Program Files/R/R-4.1.2/library","0.24.3",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"tune","tune","C:/Program Files/R/R-4.1.2/library","0.1.6",NA,"R (>= 2.10)","cli (>= 2.0.0), dials (>= 0.0.9), dplyr (>= 1.0.0), foreach,
generics (>= 0.1.0), ggplot2, glue, GPfit, hardhat (>= 0.1.6),
lifecycle (>= 1.0.0), parsnip (>= 0.1.4), purrr (>= 0.3.2),
recipes (>= 0.1.15), rlang (>= 0.4.0), rsample (>= 0.0.9),
tibble (>= 3.1.0), tidyr, vctrs (>= 0.3.0), withr, workflows
(>= 0.2.3), yardstick (>= 0.0.7)",NA,"covr, kernlab, knitr, modeldata, randomForest, spelling,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"tweenr","tweenr","C:/Program Files/R/R-4.1.2/library","1.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.3), grDevices, farver, magrittr, rlang","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"tzdb","tzdb","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.4.0)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"units","units","C:/Program Files/R/R-4.1.2/library","0.7-2",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, magrittr, pillar (>=
1.3.0), dplyr (>= 1.0.0), vctrs (>= 0.3.1), knitr, testthat (>=
3.0.0), ggforce, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"UpSetR","UpSetR","C:/Program Files/R/R-4.1.2/library","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"urltools","urltools","C:/Program Files/R/R-4.1.2/library","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"useful","useful","C:/Program Files/R/R-4.1.2/library","1.2.6",NA,"ggplot2","plyr, dplyr (>= 0.5.0), magrittr, purrr (>= 0.1.0), stats,
scales, utils, Matrix, assertthat",NA,"testthat, tibble, covr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"usethis","usethis","C:/Program Files/R/R-4.1.2/library","2.1.3",NA,"R (>= 3.4)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.0), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 0.4.10), rprojroot (>= 1.2), rstudioapi, stats,
utils, whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2,
spelling (>= 1.2), styler (>= 1.2.0), testthat (>= 3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"utf8","utf8","C:/Program Files/R/R-4.1.2/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"utils","utils","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,NA,NA,"methods, xml2, commonmark",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"uuid","uuid","C:/Program Files/R/R-4.1.2/library","1.0-2",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"V8","V8","C:/Program Files/R/R-4.1.2/library","4.1.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"vctrs","vctrs","C:/Program Files/R/R-4.1.2/library","0.3.8",NA,"R (>= 3.3)","ellipsis (>= 0.2.0), glue, rlang (>= 0.4.10)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown, rmarkdown, testthat (>= 2.3.0),
tibble, withr, xml2, waldo (>= 0.2.0), zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"vip","vip","C:/Program Files/R/R-4.1.2/library","0.3.2",NA,NA,"ggplot2 (>= 0.9.0), gridExtra, magrittr, plyr, stats, tibble,
utils",NA,"DT, C50, caret, Ckmeans.1d.dp, covr, Cubist, doParallel,
dplyr, earth, fastshap, gbm, glmnet, h2o, htmlwidgets, keras,
knitr, lattice, mlbench, mlr, mlr3, neuralnet, NeuralNetTools,
nnet, parsnip, party, partykit, pdp, pls, randomForest, ranger,
rmarkdown, rpart, RSNNS, sparkline, sparklyr (>= 0.8.0),
tinytest, varImp, xgboost",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"viridis","viridis","C:/Program Files/R/R-4.1.2/library","0.6.2",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"viridisLite","viridisLite","C:/Program Files/R/R-4.1.2/library","0.4.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"visdat","visdat","C:/Program Files/R/R-4.1.2/library","0.5.3",NA,"R (>= 3.2.2)","ggplot2, tidyr, dplyr, purrr, readr, magrittr, stats, tibble,
glue",NA,"testthat, plotly (>= 4.5.6), knitr, rmarkdown, vdiffr,
gdtools, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"vroom","vroom","C:/Program Files/R/R-4.1.2/library","1.5.5",NA,"R (>= 3.1)","bit64, crayon, cli, glue, hms, lifecycle, methods, rlang (>=
0.4.2), stats, tibble (>= 2.0.0), tzdb (>= 0.1.1), vctrs (>=
0.2.0), tidyselect, withr","progress (>= 1.2.1), cpp11 (>= 0.2.0), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"waldo","waldo","C:/Program Files/R/R-4.1.2/library","0.3.1",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 0.4.10), tibble",NA,"testthat (>= 3.0.0), covr, R6, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"warp","warp","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 3.2)",NA,NA,"covr, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"webshot","webshot","C:/Program Files/R/R-4.1.2/library","0.5.2",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"whisker","whisker","C:/Program Files/R/R-4.1.2/library","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"widgetframe","widgetframe","C:/Program Files/R/R-4.1.2/library","0.3.1",NA,"R (>= 3.1.0), htmlwidgets,","htmltools, purrr, magrittr, utils, tools",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"withr","withr","C:/Program Files/R/R-4.1.2/library","2.4.2",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"covr, DBI, knitr, lattice, methods, rmarkdown, RSQLite,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"wk","wk","C:/Program Files/R/R-4.1.2/library","0.6.0",NA,NA,NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"workboots","workboots","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"R (>= 2.10)","assertthat, dplyr, generics, lifecycle, Metrics, purrr, rlang,
rsample, stats, tibble, tidyr, vip, workflows",NA,"forcats, ggplot2, knitr, readr, recipes, rmarkdown, scales,
testthat (>= 3.0.0), tidymodels, tune, xgboost",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"workflows","workflows","C:/Program Files/R/R-4.1.2/library","0.2.4",NA,"R (>= 3.2)","cli (>= 2.0.0), ellipsis (>= 0.2.0), generics (>= 0.1.0),
glue, hardhat (>= 0.1.6), lifecycle (>= 1.0.0), parsnip (>=
0.1.5), rlang (>= 0.4.1), tidyselect (>= 1.1.0), vctrs (>=
0.3.6)",NA,"butcher (>= 0.1.3), covr, knitr, magrittr, modeldata (>=
0.0.2), recipes, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"workflowsets","workflowsets","C:/Program Files/R/R-4.1.2/library","0.1.0",NA,"R (>= 2.10)","cli, dplyr (>= 1.0.0), generics, ggplot2, hardhat (>= 0.1.6),
lifecycle (>= 1.0.0), prettyunits, purrr, rlang, rsample (>=
0.0.9), stats, tibble (>= 3.1.0), tidyr, tune (>= 0.1.3),
vctrs, withr, workflows (>= 0.2.3)",NA,"covr, dials, kknn, knitr, modeldata, parsnip, recipes (>=
0.1.15), rmarkdown, spelling, testthat (>= 3.0.0), yardstick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"xfun","xfun","C:/Program Files/R/R-4.1.2/library","0.27",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"xgboost","xgboost","C:/Program Files/R/R-4.1.2/library","1.6.0.1",NA,"R (>= 3.3.0)","Matrix (>= 1.1-0), methods, data.table (>= 1.9.6), jsonlite
(>= 1.0),",NA,"knitr, rmarkdown, ggplot2 (>= 1.0.1), DiagrammeR (>= 0.9.0),
Ckmeans.1d.dp (>= 3.3.1), vcd (>= 1.3), testthat, lintr, igraph
(>= 1.0.1), float, crayon, titanic",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"XML","XML","C:/Program Files/R/R-4.1.2/library","3.99-0.9",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"xml2","xml2","C:/Program Files/R/R-4.1.2/library","1.3.2",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"xopen","xopen","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"xtable","xtable","C:/Program Files/R/R-4.1.2/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"xts","xts","C:/Program Files/R/R-4.1.2/library","0.12.1",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"yaml","yaml","C:/Program Files/R/R-4.1.2/library","2.2.1",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"yardstick","yardstick","C:/Program Files/R/R-4.1.2/library","0.0.8",NA,"R (>= 2.10)","dplyr (>= 0.8.5), generics, pROC (>= 1.15.0), rlang (>=
0.4.0), tidyselect, utils, vctrs (>= 0.3.6)",NA,"covr, crayon, ggplot2, knitr, probably (>= 0.0.6), purrr,
rmarkdown, testthat (>= 3.0.0), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"yulab.utils","yulab.utils","C:/Program Files/R/R-4.1.2/library","0.0.4",NA,NA,"utils",NA,"pkgbuild",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"zip","zip","C:/Program Files/R/R-4.1.2/library","2.2.0",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"zoo","zoo","C:/Program Files/R/R-4.1.2/library","1.8-9",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, fts, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
